Drive,Total Size,Free Size
C:\Users\Joe\Documents\code\drive_scraper,476.31 GB,475.75 GB
File,Size,%
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\07\48ea7b7e71233e9cf4dbcbbe7329b7a5cbd943,131.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\07\77ce240f84cd0cb7de6971f5e47468e457b868,2.22 KB,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\07\db7ef60960dafd465c6b61a55af6e8d10d0c23,208.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\07\fe47193a96a44bcd886a8f9b2d8d85da020240,141.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\08\10525ee46971382b3795e9155f6384d7489782,341.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\09\7cd82292d5db559b44210e53bcad2c60139be3,836.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\09\8cc8c86c38f165306b187963412fc3c1a18ee7,399.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\0a\0910dde4637cae59c6446960228abe231c7778,154.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\0a\2d975d23c105dd99afe7b8fa1e47d1bba13da5,193.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\0a\328bd8dcdac8b4a37ded7f22acd51ac71376ef,123.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\0a\4d477382b2fbdf763f5cc048e986ca58887373,112.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\0a\dabed7a0cc2e2587ab4ff5bea978ac17fd33e6,387.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\0a\e143496c4d863764b958886992fe19903c8d92,2.97 KB,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\0a\ecd3fbecf3e7d9a98732c9a96fda99ea996202,67.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\0b\409d62cc21e11d8418aecb945717a1308d47c9,491.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\0b\a5ad47c850af29d2ade21a369d9e8d1607b8ac,308.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\0b\a9c6d06646cd8e8971b8056b895c97d47e1068,398.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\0c\8ac52da4af7fbe42c8ac22209a7772c3ef92ff,835.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\0c\e483615f98fc8d9e0af5fe8677309ca3a4b23a,192.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\0d\20adc752953842ae39558404af339c249ad1e9,445.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\0d\53fc2d1720a0fa8a0ce152bd2c78ce253e6d94,98.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\0d\ecd718a17960a25dd6e0b3b1d3606d2b88f251,200.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\0e\19dc0ae7d18b268d2c997507cebeb3bdb970f3,352.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\0e\92136bcbabf931d3f640a3c173afc4748d263d,213.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\0e\a5e9135f6cc57752976342f8a52e6080c6d110,197.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\0e\ae72c4636cd20556fbc90c57ce4d68c02befa9,292.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\0f\1f7a3bf2e78e0228b3fc11b635db2fe95de1e1,240.0 B,0.0 %
